,ID_PRET,TYPE_CREDIT,MONTANT_CREDIT,MONTANT_ANNUITE,SCORE_EXT_1,SCORE_EXT_2,SCORE_EXT_3,CODE_REJET,OBJET_PRET,RETARD_PAIEMENT_MAX,RETARD_PAIEMENT_TOTAL,STATUT_PRET
53984,162550,Revolving loans,225000.0,11250.0,0.29,0.63,0.38,XAP,XNA,0.0,0.0,Not applicable / Not specified
54170,162754,Cash loans,450000.0,22018.5,0.25,0.44,0.65,XAP,XAP,0.0,0.0,Not applicable / Not specified
54416,163041,Cash loans,755190.0,30757.5,0.0,0.64,0.59,0,0,0.0,0.0,Not applicable / Not specified
54645,163317,Cash loans,327024.0,21982.5,0.32,0.59,0.64,XAP,XAP,0.0,0.0,Not applicable / Not specified
54682,163359,Cash loans,310671.0,15241.5,0.33,0.49,0.59,XAP,XAP,0.0,0.0,Not applicable / Not specified
54710,163392,Cash loans,454500.0,20020.5,0.0,0.72,0.68,0,0,-1.0,0.0,0
54730,163413,Cash loans,522000.0,20358.0,0.0,0.41,0.51,XAP,XNA,0.0,0.0,Not applicable / Not specified
54835,163534,Cash loans,675000.0,21906.0,0.0,0.5,0.6,HC,XAP,0.0,0.0,Not applicable / Not specified
54975,163699,Cash loans,1046142.0,30717.0,0.0,0.64,0.0,XAP,XAP,0.0,0.0,0
54991,163716,Cash loans,459000.0,17914.5,0.0,0.74,0.08,XAP,XNA,0.0,0.0,X
54998,163723,Cash loans,1195587.0,35086.5,0.0,0.71,0.33,LIMIT,XNA,0.0,0.0,Not applicable / Not specified
55196,163955,Cash loans,276813.0,21865.5,0.0,0.5,0.38,XAP,XAP,0.0,0.0,Not applicable / Not specified
55466,164271,Cash loans,454500.0,33979.5,0.0,0.69,0.0,XAP,XAP,0.0,0.0,0
55557,164378,Cash loans,1288350.0,34114.5,0.73,0.7,0.69,0,0,0.0,0.0,C
55600,164423,Revolving loans,202500.0,10125.0,0.0,0.47,0.0,HC,XAP,0.0,0.0,Not applicable / Not specified
55630,164459,Cash loans,1113840.0,51745.5,0.0,0.33,0.48,0,0,0.0,0.0,Not applicable / Not specified
55949,164831,Revolving loans,270000.0,13500.0,0.72,0.71,0.82,XAP,XNA,-1.0,0.0,Not applicable / Not specified
55979,164867,Cash loans,727785.0,20142.0,0.0,0.65,0.45,XAP,XNA,0.0,0.0,Not applicable / Not specified
56022,164917,Cash loans,900297.0,26320.5,0.48,0.53,0.36,XAP,XAP,0.0,0.0,0
56025,164920,Cash loans,84073.5,6741.0,0.32,0.28,0.0,HC,XNA,0.0,0.0,0
56115,165024,Cash loans,280332.0,24187.5,0.0,0.56,0.48,XAP,XAP,0.0,0.0,C
56129,165039,Cash loans,265500.0,26388.0,0.0,0.69,0.12,XAP,XAP,0.0,0.0,Not applicable / Not specified
56133,165043,Cash loans,140166.0,11367.0,0.49,0.5,0.31,XAP,XAP,0.0,0.0,C
56161,165076,Cash loans,315000.0,21307.5,0.0,0.55,0.75,CLIENT,XAP,0.0,0.0,X
56173,165091,Cash loans,180000.0,10179.0,0.0,0.19,0.0,XAP,XAP,0.0,0.0,0
56249,165181,Cash loans,675000.0,26284.5,0.0,0.77,0.34,XAP,XAP,0.0,0.0,Not applicable / Not specified
56313,165255,Cash loans,648000.0,27585.0,0.79,0.33,0.83,XAP,XAP,0.0,0.0,C
56334,165276,Cash loans,690048.0,22387.5,0.0,0.69,0.78,XAP,XAP,0.0,0.0,Not applicable / Not specified
56376,165323,Cash loans,187704.0,13729.5,0.0,0.69,0.0,XAP,XAP,0.0,0.0,0
56601,165592,Revolving loans,202500.0,10125.0,0.56,0.61,0.62,XAP,XAP,-1.0,0.0,Not applicable / Not specified
56874,165913,Cash loans,540000.0,27702.0,0.66,0.37,0.39,XAP,XAP,0.0,0.0,C
56903,165953,Cash loans,251091.0,27171.0,0.0,0.57,0.4,XAP,XNA,0.0,0.0,Not applicable / Not specified
56934,165991,Cash loans,379008.0,44977.5,0.47,0.5,0.66,XAP,XAP,0.0,0.0,Not applicable / Not specified
56965,166027,Cash loans,1056447.0,31018.5,0.0,0.63,0.63,XAP,XAP,0.0,0.0,Not applicable / Not specified
57113,166199,Cash loans,585000.0,18999.0,0.0,0.65,0.44,XAP,XAP,0.0,0.0,Not applicable / Not specified
57153,166242,Cash loans,229230.0,14922.0,0.0,0.53,0.47,XAP,XNA,0.0,0.0,Not applicable / Not specified
57156,166247,Cash loans,545040.0,39627.0,0.86,0.57,0.44,HC,XNA,0.0,0.0,Not applicable / Not specified
57249,166356,Cash loans,454500.0,16321.5,0.31,0.38,0.25,SCOFR,XAP,0.0,0.0,Not applicable / Not specified
57317,166429,Cash loans,373311.0,20380.5,0.33,0.48,0.43,XAP,XAP,-1.0,0.0,Not applicable / Not specified
57434,166562,Cash loans,913005.0,48771.0,0.0,0.22,0.0,XAP,XNA,0.0,0.0,0
57959,167184,Cash loans,143419.5,10849.5,0.0,0.34,0.2,HC,XNA,0.0,0.0,0
58017,167251,Cash loans,1436850.0,46480.5,0.0,0.43,0.12,XAP,XAP,0.0,0.0,0
58312,167598,Cash loans,142200.0,9630.0,0.18,0.57,0.68,XAP,XAP,0.0,0.0,Not applicable / Not specified
58337,167625,Cash loans,708939.0,51718.5,0.59,0.57,0.76,XAP,XNA,0.0,0.0,C
58352,167643,Cash loans,545040.0,25537.5,0.0,0.69,0.46,XAP,XAP,0.0,0.0,Not applicable / Not specified
58475,167781,Cash loans,760225.5,30150.0,0.0,0.15,0.54,XAP,XAP,11779.785,0.0,Not applicable / Not specified
58520,167831,Cash loans,79101.0,3802.5,0.78,0.64,0.64,XAP,XNA,0.0,0.0,C
58606,167932,Cash loans,1129500.0,33156.0,0.0,0.1,0.33,XAP,XNA,0.0,0.0,Not applicable / Not specified
58768,168126,Cash loans,592560.0,35806.5,0.0,0.6,0.67,XAP,XAP,0.0,0.0,Not applicable / Not specified
58828,168197,Cash loans,1575000.0,50940.0,0.79,0.71,0.65,XAP,XAP,0.0,0.0,Not applicable / Not specified
58996,168379,Cash loans,225000.0,7065.0,0.0,0.44,0.55,HC,Repairs,0.0,0.0,Not applicable / Not specified
59021,168408,Cash loans,2156400.0,59301.0,0.0,0.63,0.72,XAP,XAP,-1.0,0.0,0
59159,168570,Cash loans,450000.0,24412.5,0.0,0.76,0.72,XAP,XAP,0.0,0.0,C
59166,168578,Cash loans,247275.0,17338.5,0.0,0.1,0.0,XAP,XNA,0.0,0.0,0
59167,168579,Cash loans,855000.0,30708.0,0.61,0.74,0.53,XAP,XNA,0.0,0.0,C
59171,168584,Cash loans,1426500.0,39226.5,0.0,0.71,0.0,HC,XAP,0.0,0.0,Not applicable / Not specified
59408,168865,Cash loans,481500.0,23292.0,0.0,0.12,0.23,HC,XNA,0.0,0.0,Not applicable / Not specified
59440,168900,Cash loans,191880.0,18688.5,0.84,0.52,0.66,XAP,XAP,0.0,0.0,Not applicable / Not specified
59452,168912,Cash loans,640080.0,31261.5,0.0,0.35,0.0,XAP,XNA,0.0,0.0,0
59947,169503,Cash loans,610335.0,22050.0,0.76,0.61,0.57,XAP,XAP,0.0,0.0,Not applicable / Not specified
60217,169823,Cash loans,755190.0,36459.0,0.0,0.66,0.0,XAP,XNA,0.0,0.0,0
60387,170011,Cash loans,360000.0,17446.5,0.0,0.61,0.48,HC,Other,0.0,0.0,0
60393,170017,Cash loans,67500.0,7218.0,0.0,0.73,0.6,XAP,XAP,-1.0,0.0,Not applicable / Not specified
60462,170098,Cash loans,473760.0,53451.0,0.0,0.52,0.54,HC,XAP,0.0,0.0,C
60487,170130,Cash loans,545040.0,19705.5,0.0,0.63,0.0,XAP,XAP,0.0,0.0,Not applicable / Not specified
60521,170174,Cash loans,229230.0,27333.0,0.67,0.6,0.33,XAP,XAP,0.0,0.0,Not applicable / Not specified
60980,170716,Cash loans,512064.0,19431.0,0.0,0.64,0.79,XAP,XAP,0.0,0.0,Not applicable / Not specified
61138,170899,Cash loans,495000.0,47128.5,0.0,0.51,0.62,XAP,XAP,0.0,0.0,Not applicable / Not specified
61215,170991,Cash loans,1440000.0,38115.0,0.81,0.75,0.0,XAP,XAP,0.0,0.0,0
61293,171079,Cash loans,442062.0,21397.5,0.0,0.8,0.62,HC,XNA,0.0,0.0,C
61370,171171,Cash loans,1190434.5,38533.5,0.69,0.42,0.29,XAP,XAP,0.0,0.0,Not applicable / Not specified
61549,171385,Cash loans,373500.0,10399.5,0.0,0.49,0.32,XAP,XAP,0.0,0.0,Not applicable / Not specified
61558,171398,Cash loans,562491.0,23962.5,0.6,0.7,0.17,XAP,XNA,0.0,0.0,Not applicable / Not specified
61668,171519,Cash loans,770292.0,35824.5,0.72,0.47,0.48,0,0,0.0,0.0,C
61883,171773,Cash loans,808650.0,31464.0,0.54,0.7,0.16,XAP,XAP,0.0,0.0,C
62109,172028,Cash loans,1113840.0,44302.5,0.73,0.12,0.42,XAP,XNA,0.0,0.0,Not applicable / Not specified
62236,172180,Cash loans,582768.0,45099.0,0.32,0.71,0.26,XAP,XAP,0.0,0.0,0
62302,172251,Cash loans,254799.0,15718.5,0.65,0.7,0.41,XAP,XAP,0.0,0.0,0
62334,172285,Revolving loans,810000.0,40500.0,0.87,0.73,0.67,XAP,XAP,0.0,0.0,Not applicable / Not specified
62344,172296,Cash loans,900000.0,45954.0,0.28,0.68,0.56,XAP,XAP,0.0,0.0,C
62506,172488,Cash loans,152820.0,16344.0,0.32,0.5,0.73,CLIENT,XAP,0.0,0.0,Not applicable / Not specified
62664,172682,Cash loans,364896.0,19926.0,0.0,0.68,0.15,XAP,XAP,0.0,0.0,Not applicable / Not specified
62694,172720,Cash loans,715095.0,53595.0,0.0,0.55,0.0,XAP,XAP,0.0,0.0,0
62698,172724,Cash loans,1327500.0,52645.5,0.54,0.65,0.76,XAP,Building a house or an annex,0.0,0.0,Not applicable / Not specified
62845,172893,Cash loans,396706.5,25483.5,0.0,0.7,0.57,XAP,XAP,-1.0,0.0,C
62850,172900,Cash loans,755190.0,36328.5,0.39,0.5,0.37,XAP,XAP,-1.0,0.0,Not applicable / Not specified
62855,172905,Cash loans,332842.5,16317.0,0.0,0.7,0.48,XAP,XAP,0.0,0.0,Not applicable / Not specified
63060,173142,Cash loans,783927.0,37845.0,0.0,0.68,0.75,XAP,XAP,-1.0,0.0,C
63093,173178,Cash loans,284400.0,16011.0,0.0,0.37,0.76,XAP,XAP,0.0,0.0,Not applicable / Not specified
63102,173187,Cash loans,432661.5,23467.5,0.0,0.29,0.0,XAP,XAP,0.0,0.0,Not applicable / Not specified
63159,173253,Cash loans,531706.5,34110.0,0.0,0.59,0.0,XAP,XNA,0.0,0.0,0
63169,173264,Cash loans,238500.0,11727.0,0.29,0.45,0.55,XAP,XAP,0.0,0.0,Not applicable / Not specified
63170,173265,Cash loans,675000.0,21906.0,0.0,0.04,0.19,0,0,0.0,0.0,Not applicable / Not specified
63238,173343,Cash loans,314100.0,19111.5,0.0,0.49,0.18,XAP,XAP,0.0,0.0,Not applicable / Not specified
63304,173419,Cash loans,157914.0,15745.5,0.0,0.73,0.0,XAP,Gasification / water supply,0.0,0.0,0
63421,173550,Cash loans,450000.0,22018.5,0.16,0.3,0.6,XAP,XNA,0.0,0.0,Not applicable / Not specified
63491,173630,Cash loans,345510.0,18873.0,0.0,0.49,0.19,XAP,XAP,0.0,0.0,X
63673,173840,Cash loans,697500.0,20524.5,0.71,0.61,0.6,XAP,XAP,0.0,0.0,Not applicable / Not specified
63710,173878,Cash loans,229500.0,13995.0,0.0,0.5,0.39,XAP,XAP,67486.365,0.0,Not applicable / Not specified
63721,173889,Revolving loans,675000.0,33750.0,0.65,0.58,0.51,0,0,0.0,0.0,Not applicable / Not specified
63776,173951,Cash loans,906894.0,43758.0,0.0,0.43,0.51,XAP,XAP,0.0,0.0,X
64007,174221,Cash loans,900000.0,43299.0,0.54,0.64,0.4,HC,XAP,0.0,0.0,C
64152,174392,Cash loans,659610.0,25686.0,0.0,0.66,0.32,XAP,XNA,0.0,0.0,Not applicable / Not specified
64304,174570,Cash loans,1288350.0,41692.5,0.0,0.56,0.0,XAP,XNA,0.0,0.0,0
64434,174719,Cash loans,1506816.0,47443.5,0.78,0.64,0.45,XAP,XAP,0.0,0.0,Not applicable / Not specified
64639,174970,Cash loans,1886850.0,51885.0,0.7,0.58,0.69,0,0,0.0,0.0,Not applicable / Not specified
64656,174991,Cash loans,225000.0,22050.0,0.84,0.69,0.55,XAP,XNA,-1.0,0.0,C
64906,175267,Cash loans,881055.0,35073.0,0.75,0.63,0.63,XAP,XAP,0.0,0.0,Not applicable / Not specified
65112,175510,Cash loans,314055.0,13963.5,0.0,0.58,0.35,XAP,XAP,0.0,0.0,Not applicable / Not specified
65247,175673,Cash loans,405000.0,27396.0,0.0,0.54,0.52,XAP,Furniture,0.0,0.0,Not applicable / Not specified
65361,175807,Cash loans,677664.0,41589.0,0.0,0.74,0.5,XAP,XAP,0.0,0.0,Not applicable / Not specified
65638,176124,Cash loans,284400.0,18643.5,0.24,0.69,0.0,XAP,XAP,0.0,0.0,Not applicable / Not specified
65642,176128,Cash loans,835380.0,33259.5,0.52,0.69,0.57,0,0,0.0,0.0,Not applicable / Not specified
65674,176161,Cash loans,1215000.0,32049.0,0.56,0.48,0.81,0,0,0.0,0.0,Not applicable / Not specified
65714,176203,Cash loans,1546020.0,45202.5,0.73,0.73,0.61,XAP,XAP,0.0,0.0,Not applicable / Not specified
65848,176356,Cash loans,1928304.0,71590.5,0.56,0.64,0.75,0,0,0.0,0.0,Not applicable / Not specified
65885,176397,Cash loans,601470.0,32760.0,0.0,0.73,0.53,XAP,XAP,0.0,0.0,C
65998,176540,Cash loans,900000.0,26316.0,0.61,0.55,0.42,XAP,XNA,0.0,0.0,Not applicable / Not specified
66063,176616,Cash loans,900000.0,26446.5,0.75,0.68,0.76,XAP,XAP,0.0,0.0,Not applicable / Not specified
66192,176770,Revolving loans,360000.0,18000.0,0.0,0.29,0.61,HC,XAP,0.0,0.0,Not applicable / Not specified
66231,176812,Cash loans,808650.0,23643.0,0.0,0.64,0.39,XAP,XAP,0.0,0.0,Not applicable / Not specified
66232,176813,Cash loans,257391.0,18432.0,0.52,0.32,0.78,XAP,XAP,0.0,0.0,Not applicable / Not specified
66327,176923,Cash loans,625536.0,33934.5,0.44,0.25,0.04,LIMIT,XAP,0.0,0.0,X
66355,176956,Cash loans,545040.0,25537.5,0.0,0.5,0.0,XAP,XAP,0.0,0.0,Not applicable / Not specified
66363,176965,Cash loans,473760.0,51021.0,0.25,0.32,0.6,XAP,XAP,0.0,0.0,Not applicable / Not specified
66642,177280,Cash loans,123637.5,8923.5,0.35,0.15,0.63,XAP,XNA,0.0,0.0,X
66717,177363,Revolving loans,270000.0,13500.0,0.16,0.41,0.54,XAP,XAP,0.0,0.0,Not applicable / Not specified
66889,177560,Cash loans,254700.0,17149.5,0.0,0.59,0.0,XAP,XAP,0.0,0.0,0
66902,177575,Cash loans,199080.0,11556.0,0.0,0.17,0.0,XAP,XNA,0.0,0.0,0
66906,177581,Cash loans,298512.0,30127.5,0.0,0.52,0.58,XAP,XAP,0.0,0.0,0
66907,177582,Cash loans,509400.0,37066.5,0.52,0.61,0.56,HC,XNA,0.0,0.0,C
66958,177640,Cash loans,1042560.0,34587.0,0.69,0.57,0.33,XAP,XAP,0.0,0.0,Not applicable / Not specified
67027,177724,Cash loans,1185282.0,34785.0,0.28,0.68,0.81,XAP,XAP,0.0,0.0,Not applicable / Not specified
67244,177982,Cash loans,252531.0,20376.0,0.0,0.6,0.66,XAP,Repairs,0.0,0.0,X
67270,178014,Cash loans,574785.0,24480.0,0.0,0.09,0.52,XAP,XAP,0.0,0.0,Not applicable / Not specified
67277,178023,Revolving loans,135000.0,6750.0,0.0,0.58,0.0,0,0,0.0,0.0,0
67299,178046,Cash loans,450000.0,35554.5,0.0,0.68,0.14,XAP,XNA,0.0,0.0,X
67331,178084,Revolving loans,270000.0,13500.0,0.64,0.19,0.34,XAP,XAP,0.0,0.0,Not applicable / Not specified
67372,178130,Cash loans,1129500.0,31189.5,0.0,0.27,0.37,XAP,XNA,0.0,0.0,Not applicable / Not specified
67533,178313,Cash loans,675000.0,26154.0,0.0,0.72,0.31,XAP,XAP,0.0,0.0,C
67551,178332,Cash loans,804096.0,29673.0,0.0,0.65,0.62,XAP,XNA,0.0,0.0,Not applicable / Not specified
67955,178803,Cash loans,312768.0,19003.5,0.16,0.73,0.06,XAP,XAP,0.0,0.0,Not applicable / Not specified
68052,178917,Cash loans,454500.0,20020.5,0.71,0.56,0.69,XAP,XAP,0.0,0.0,C
68151,179029,Cash loans,454500.0,33070.5,0.42,0.67,0.46,XAP,XAP,0.0,0.0,X
68152,179030,Cash loans,450000.0,47749.5,0.28,0.52,0.45,XAP,XAP,0.0,0.0,Not applicable / Not specified
68185,179068,Cash loans,256500.0,12469.5,0.55,0.58,0.38,LIMIT,XAP,-1.0,0.0,Not applicable / Not specified
68299,179205,Cash loans,900000.0,26316.0,0.0,0.74,0.82,HC,Repairs,0.0,0.0,C
68365,179291,Cash loans,1247121.0,36594.0,0.0,0.72,0.1,XAP,XAP,0.0,0.0,Not applicable / Not specified
68419,179359,Cash loans,315000.0,24885.0,0.2,0.4,0.35,XAP,XNA,0.0,0.0,Not applicable / Not specified
68464,179405,Cash loans,229500.0,11169.0,0.0,0.65,0.58,XAP,XAP,0.0,0.0,C
68584,179542,Cash loans,254700.0,14350.5,0.77,0.61,0.7,XAP,XAP,0.0,0.0,Not applicable / Not specified
68607,179568,Cash loans,770292.0,30676.5,0.0,0.62,0.0,XAP,XAP,0.0,0.0,0
68735,179720,Cash loans,1928304.0,73579.5,0.0,0.74,0.68,XAP,XNA,0.0,0.0,Not applicable / Not specified
68848,179848,Cash loans,1886850.0,52015.5,0.0,0.46,0.2,XAP,XAP,0.0,0.0,Not applicable / Not specified
68943,179958,Cash loans,761067.0,24862.5,0.0,0.08,0.62,XAP,XAP,0.0,0.0,Not applicable / Not specified
68988,180010,Cash loans,518562.0,25078.5,0.47,0.61,0.58,HC,XAP,0.0,0.0,X
69067,180105,Cash loans,188460.0,10350.0,0.16,0.53,0.13,SCOFR,XAP,0.0,0.0,Not applicable / Not specified
69177,180229,Cash loans,225000.0,26703.0,0.0,0.48,0.0,SCOFR,XAP,0.0,0.0,Not applicable / Not specified
69393,180486,Cash loans,558486.0,29884.5,0.0,0.61,0.0,XAP,XNA,0.0,0.0,Not applicable / Not specified
69427,180521,Cash loans,835605.0,24561.0,0.0,0.61,0.58,XAP,XNA,-1.0,0.0,Not applicable / Not specified
69485,180586,Revolving loans,360000.0,18000.0,0.0,0.35,0.67,XAP,XAP,0.0,0.0,Not applicable / Not specified
69505,180612,Cash loans,1515415.5,44437.5,0.0,0.72,0.0,XAP,XAP,0.0,0.0,0
69510,180617,Cash loans,500211.0,28062.0,0.68,0.73,0.67,SCO,XNA,0.0,0.0,C
69575,180694,Cash loans,1164307.5,51939.0,0.0,0.24,0.55,XAP,Car repairs,0.0,0.0,C
69719,180880,Revolving loans,180000.0,9000.0,0.24,0.42,0.2,XAP,XAP,0.0,0.0,Not applicable / Not specified
69982,181178,Cash loans,848745.0,46044.0,0.26,0.71,0.44,XAP,XAP,0.0,0.0,0
70037,181244,Cash loans,1928304.0,73579.5,0.0,0.71,0.38,SCO,XAP,0.0,0.0,Not applicable / Not specified
70136,181362,Revolving loans,675000.0,33750.0,0.0,0.69,0.42,0,0,0.0,0.0,Not applicable / Not specified
70185,181420,Cash loans,386977.5,22342.5,0.0,0.06,0.0,XAP,XAP,0.0,0.0,Not applicable / Not specified
70211,181447,Cash loans,242595.0,10813.5,0.0,0.45,0.0,0,0,0.0,0.0,5
70224,181460,Cash loans,544491.0,21226.5,0.0,0.53,0.15,XAP,XAP,0.0,0.0,Not applicable / Not specified
70639,181942,Cash loans,237024.0,18724.5,0.58,0.59,0.0,0,0,0.0,0.0,C
70729,182041,Cash loans,225000.0,21919.5,0.22,0.57,0.72,XAP,XAP,0.0,0.0,Not applicable / Not specified
70770,182087,Cash loans,56034.0,6075.0,0.0,0.26,0.14,XAP,XAP,-1.0,0.0,Not applicable / Not specified
70787,182105,Cash loans,1078200.0,28570.5,0.55,0.78,0.81,0,0,0.0,0.0,Not applicable / Not specified
70878,182209,Cash loans,296239.5,19282.5,0.0,0.61,0.55,XAP,XAP,21081.51,0.0,Not applicable / Not specified
70947,182284,Cash loans,270000.0,12510.0,0.53,0.54,0.44,XAP,XAP,0.0,0.0,Not applicable / Not specified
71021,182370,Cash loans,452385.0,23107.5,0.37,0.48,0.64,LIMIT,Building a house or an annex,0.0,0.0,Not applicable / Not specified
71206,182590,Revolving loans,180000.0,9000.0,0.36,0.45,0.81,XAP,XAP,0.0,0.0,Not applicable / Not specified
71210,182594,Cash loans,500211.0,46008.0,0.66,0.69,0.6,XAP,XAP,0.0,0.0,C
71330,182722,Cash loans,116955.0,9504.0,0.28,0.54,0.67,XAP,XAP,0.0,0.0,X
71339,182732,Cash loans,1005120.0,26644.5,0.33,0.41,0.25,XAP,XNA,0.0,0.0,0
71473,182888,Cash loans,753840.0,24448.5,0.0,0.15,0.25,XAP,XAP,12280.68,0.0,Not applicable / Not specified
71676,183122,Cash loans,1107612.0,45711.0,0.0,0.59,0.55,XAP,XAP,-1.0,0.0,0
71700,183148,Cash loans,450000.0,19318.5,0.0,0.58,0.0,0,0,0.0,0.0,0
71977,183472,Cash loans,2265570.0,59764.5,0.51,0.6,0.43,XAP,XAP,0.0,0.0,Not applicable / Not specified
72013,183515,Cash loans,225000.0,17905.5,0.43,0.63,0.71,XAP,XAP,0.0,0.0,X
72100,183618,Cash loans,810000.0,32251.5,0.0,0.72,0.6,XAP,XAP,0.0,0.0,Not applicable / Not specified
72312,183860,Cash loans,451804.5,29002.5,0.25,0.31,0.0,CLIENT,XAP,0.0,0.0,0
72430,183993,Revolving loans,202500.0,10125.0,0.0,0.69,0.7,XAP,XAP,0.0,0.0,Not applicable / Not specified
72560,184141,Cash loans,1273680.0,53964.0,0.0,0.33,0.78,XAP,XNA,0.0,0.0,Not applicable / Not specified
72711,184313,Revolving loans,157500.0,7875.0,0.0,0.3,0.77,XAP,XAP,9540.0,0.0,Not applicable / Not specified
72715,184317,Cash loans,314055.0,16573.5,0.35,0.66,0.28,XAP,XAP,7650.0,0.0,Not applicable / Not specified
72934,184571,Cash loans,761872.5,70006.5,0.0,0.35,0.55,XAP,XAP,0.0,0.0,C
73074,184725,Cash loans,450000.0,22018.5,0.75,0.54,0.43,XAP,XAP,0.0,0.0,Not applicable / Not specified
73173,184837,Cash loans,441616.5,35536.5,0.27,0.25,0.45,XAP,XNA,0.0,0.0,C
73278,184962,Cash loans,508495.5,24592.5,0.31,0.7,0.0,XAP,XAP,0.0,0.0,0
73634,185389,Cash loans,292500.0,18823.5,0.41,0.41,0.67,HC,XAP,0.0,0.0,C
73793,185571,Cash loans,1125000.0,46557.0,0.0,0.37,0.54,XAP,XAP,0.0,0.0,C
73975,185786,Cash loans,1855993.5,75591.0,0.68,0.31,0.26,HC,XNA,0.0,0.0,Not applicable / Not specified
73984,185795,Cash loans,427450.5,20691.0,0.0,0.74,0.55,XAP,XNA,0.0,0.0,C
74002,185815,Cash loans,450000.0,33646.5,0.0,0.41,0.0,XAP,XAP,0.0,0.0,0
74074,185901,Cash loans,679500.0,39726.0,0.59,0.58,0.6,XAP,XAP,0.0,0.0,C
74090,185918,Cash loans,1125000.0,33025.5,0.68,0.46,0.0,XAP,XAP,0.0,0.0,0
74180,186024,Cash loans,149256.0,16879.5,0.0,0.45,0.62,XAP,XNA,0.0,0.0,C
74199,186045,Revolving loans,180000.0,9000.0,0.22,0.31,0.0,XAP,XAP,0.0,0.0,0
74242,186096,Revolving loans,270000.0,13500.0,0.26,0.72,0.86,XAP,XAP,0.0,0.0,Not applicable / Not specified
74270,186128,Cash loans,733315.5,69754.5,0.0,0.68,0.53,XAP,XAP,0.0,0.0,Not applicable / Not specified
74303,186173,Cash loans,1125000.0,47664.0,0.0,0.56,0.35,XAP,XAP,2970.0,0.0,Not applicable / Not specified
74479,186370,Cash loans,450000.0,22018.5,0.64,0.2,0.31,XAP,XAP,0.0,0.0,Not applicable / Not specified
74511,186404,Cash loans,568800.0,15133.5,0.71,0.0,0.14,XAP,XNA,0.0,0.0,0
75173,187182,Cash loans,284400.0,13257.0,0.0,0.64,0.47,XAP,XNA,14498.415,0.0,Not applicable / Not specified
75188,187199,Cash loans,755190.0,32125.5,0.0,0.62,0.23,0,0,0.0,0.0,Not applicable / Not specified
75253,187272,Revolving loans,270000.0,13500.0,0.42,0.45,0.0,XAP,XNA,0.0,0.0,0
75258,187277,Cash loans,298512.0,21852.0,0.0,0.6,0.43,XAP,XNA,-1.0,0.0,0
75352,187390,Cash loans,640080.0,29970.0,0.26,0.37,0.23,XAP,XAP,0.0,0.0,Not applicable / Not specified
76040,188182,Revolving loans,450000.0,22500.0,0.51,0.76,0.47,XAP,XAP,0.0,0.0,Not applicable / Not specified
76046,188188,Cash loans,231813.0,11965.5,0.81,0.18,0.65,XAP,XAP,-1.0,0.0,0
76104,188257,Cash loans,781920.0,40054.5,0.0,0.52,0.33,XAP,XNA,0.0,0.0,X
76122,188279,Cash loans,1024740.0,49297.5,0.62,0.29,0.56,XAP,XAP,0.0,0.0,C
76466,188672,Cash loans,269550.0,13891.5,0.0,0.13,0.81,XAP,XAP,0.0,0.0,X
76504,188717,Cash loans,1152000.0,47047.5,0.0,0.67,0.0,XAP,XNA,0.0,0.0,Not applicable / Not specified
76799,189060,Cash loans,1633473.0,47889.0,0.3,0.65,0.43,XAP,XNA,0.0,0.0,Not applicable / Not specified
76882,189151,Cash loans,848745.0,37516.5,0.59,0.69,0.54,XAP,XAP,0.0,0.0,0
76993,189280,Cash loans,531000.0,19201.5,0.0,0.23,0.76,XAP,XNA,0.0,0.0,Not applicable / Not specified
77059,189356,Cash loans,353241.0,28039.5,0.77,0.61,0.44,XAP,XAP,0.0,0.0,Not applicable / Not specified
77176,189486,Cash loans,1350000.0,55116.0,0.0,0.68,0.68,XAP,XAP,0.0,0.0,Not applicable / Not specified
77250,189574,Cash loans,1125000.0,59940.0,0.6,0.61,0.45,XAP,XNA,0.0,0.0,Not applicable / Not specified
77343,189680,Cash loans,254700.0,14350.5,0.0,0.59,0.62,XAP,XAP,0.0,0.0,Not applicable / Not specified
77419,189762,Cash loans,900000.0,23742.0,0.49,0.4,0.67,XAP,XAP,0.0,0.0,Not applicable / Not specified
77490,189846,Cash loans,254700.0,14350.5,0.73,0.7,0.39,XAP,XNA,0.0,0.0,Not applicable / Not specified
77556,189921,Cash loans,711000.0,21685.5,0.0,0.67,0.66,XAP,XNA,27400.275,0.0,Not applicable / Not specified
77603,189976,Cash loans,808650.0,26217.0,0.58,0.73,0.37,XAP,XAP,0.0,0.0,Not applicable / Not specified
77807,190208,Cash loans,582768.0,37242.0,0.57,0.69,0.0,XAP,XAP,0.0,0.0,0
78000,190429,Cash loans,1125000.0,36423.0,0.54,0.65,0.4,XAP,XAP,0.0,0.0,Not applicable / Not specified
78073,190509,Cash loans,900000.0,26316.0,0.0,0.53,0.31,XAP,XAP,0.0,0.0,Not applicable / Not specified
78099,190544,Cash loans,327024.0,21289.5,0.29,0.2,0.48,SCO,XAP,0.0,0.0,Not applicable / Not specified
78145,190600,Cash loans,247275.0,17338.5,0.6,0.59,0.47,XAP,XAP,0.0,0.0,Not applicable / Not specified
78170,190629,Cash loans,1071355.5,45391.5,0.0,0.57,0.66,XAP,XAP,0.0,0.0,Not applicable / Not specified
78215,190679,Cash loans,490536.0,23859.0,0.0,0.31,0.06,HC,XNA,0.0,0.0,Not applicable / Not specified
